City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
199,Maumere,ID,-8.6199,122.2111,78.93,80,65,8.01,broken clouds
200,Careiro Da Varzea,BR,-3.2003,-59.8119,86.61,81,100,5.66,light rain
201,Coquimbo,CL,-29.9533,-71.3436,62.33,59,20,14.97,few clouds
202,Laguna De Perlas,NI,12.3429,-83.6712,81.93,85,100,10.07,overcast clouds
203,Atar,MR,20.5169,-13.0499,95.07,7,100,6.46,overcast clouds
204,Awjilah,LY,29.1081,21.2869,79.38,23,0,7.63,clear sky
205,Hanchuan,CN,30.65,113.7667,63.34,84,100,10.78,overcast clouds
206,Tanete,ID,-3.9443,119.7848,74.73,88,97,3.69,overcast clouds
207,Mucurapo,TT,10.6667,-61.5333,87.13,69,38,2.28,scattered clouds
208,Takoradi,GH,4.8845,-1.7554,78.15,88,62,7.49,broken clouds
209,Roma,US,43.2128,-75.4557,76.42,62,1,0.0,clear sky
210,Grindavik,IS,63.8424,-22.4338,48.9,93,75,14.97,broken clouds
211,Davila,PH,18.4726,120.5763,79.74,84,100,5.12,overcast clouds
212,Unai,BR,-16.3575,-46.9061,92.21,29,91,3.2,overcast clouds
213,Macaubas,BR,-13.0194,-42.6986,94.75,17,60,7.16,broken clouds
214,Plaridel,PH,14.8872,120.8572,81.1,85,100,2.91,overcast clouds
215,Arraial Do Cabo,BR,-22.9661,-42.0278,71.46,60,75,5.75,broken clouds
216,Krasnoarmeysk,RU,51.0239,45.6969,45.28,61,8,4.16,clear sky
217,Cartagena,CO,10.3997,-75.5144,89.22,62,20,8.05,few clouds
218,Norman Wells,CA,65.282,-126.8329,37.47,75,94,5.35,overcast clouds
219,Marion,US,39.7684,-86.1555,79.2,72,40,3.44,scattered clouds
220,Evensk,RU,61.95,159.2333,21.94,62,24,7.31,few clouds
221,Airai,TL,-8.9266,125.4092,59.74,57,37,2.86,scattered clouds
222,Lekoni,GA,-1.5843,14.2591,77.49,80,94,2.75,overcast clouds
223,Geraldton,AU,-28.7667,114.6,48.61,87,2,9.22,clear sky
224,Inuvik,CA,68.3499,-133.7218,30.96,93,90,4.61,light snow
225,Pringsewu,ID,-5.3582,104.9744,74.84,93,83,3.65,broken clouds
226,Cherskiy,RU,68.75,161.3,-2.97,100,88,3.06,overcast clouds
227,Lagunas,PE,-5.2269,-75.6753,87.21,56,100,2.75,overcast clouds
228,Pierre,US,44.3683,-100.351,82.06,50,1,4.0,clear sky
229,Prince Rupert,CA,54.3161,-130.3201,48.29,93,90,13.8,light rain
230,Laguna,US,38.421,-121.4238,69.48,54,40,4.0,scattered clouds
231,Teya,RU,60.3778,92.6267,38.39,97,100,12.06,light rain
232,Kruisfontein,ZA,-34.0033,24.7314,55.89,75,60,4.94,broken clouds
233,Isangel,VU,-19.55,169.2667,73.35,75,37,10.31,scattered clouds
234,Deputatskiy,RU,69.3,139.9,13.35,95,89,3.71,overcast clouds
235,Ambilobe,MG,-13.2,49.05,75.74,61,77,5.88,broken clouds
236,Drayton Valley,CA,53.2168,-114.9854,49.91,27,5,7.18,clear sky
237,Itanhaem,BR,-24.1831,-46.7889,72.25,83,100,8.84,overcast clouds
238,Chokurdakh,RU,70.6333,147.9167,6.3,92,84,7.74,broken clouds
239,Northam,GB,51.0333,-4.2167,61.39,88,51,7.4,broken clouds
240,Adrar,MR,20.5022,-10.0711,92.71,7,100,9.06,overcast clouds
241,Marsh Harbour,BS,26.5412,-77.0636,82.42,65,94,6.85,overcast clouds
242,Fatehpur,IN,25.9333,80.8,77.85,52,0,0.87,clear sky
243,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.69,69,100,8.01,overcast clouds
244,Shimoda,JP,34.6667,138.95,68.11,83,6,2.77,clear sky
245,Codrington,AU,-38.2667,141.9667,46.0,70,93,8.97,overcast clouds
246,Avarua,CK,-21.2078,-159.775,77.05,69,90,5.75,overcast clouds
247,Kalmunai,LK,7.4167,81.8167,80.71,74,99,4.68,overcast clouds
248,Yantai,CN,37.5333,121.4,64.62,84,100,6.62,overcast clouds
249,Fort Nelson,CA,58.8053,-122.7002,48.24,45,5,3.71,clear sky
250,Virginia Beach,US,36.8529,-75.978,75.42,71,90,1.01,overcast clouds
251,Barrow,US,71.2906,-156.7887,30.22,80,90,14.97,haze
252,Hervey Bay,AU,-25.2986,152.8535,66.04,78,0,5.86,clear sky
253,Amahai,ID,-3.3333,128.9167,77.54,89,77,1.86,heavy intensity rain
254,Svetlaya,RU,46.5389,138.3297,44.82,65,0,6.29,clear sky
255,Xingtai,CN,37.0631,114.4942,59.41,81,100,0.54,light rain
256,Acaponeta,MX,22.4964,-105.3594,95.34,44,3,4.72,clear sky
257,Kapit,MY,2.0167,112.9333,74.43,98,96,0.72,overcast clouds
258,Tucurui,BR,-3.7661,-49.6725,96.53,33,95,3.8,overcast clouds
259,Katangli,RU,51.7102,143.2326,34.72,87,17,9.08,few clouds
260,Pingxiang,CN,27.6167,113.85,68.25,94,100,1.81,overcast clouds
261,Coahuayana,MX,18.7333,-103.6833,92.68,61,57,6.13,broken clouds
262,Hami,CN,42.8,93.45,37.36,37,0,5.28,clear sky
263,Esil,KZ,51.9556,66.4042,41.88,64,0,5.28,clear sky
264,Diffa,NE,13.3154,12.6113,88.02,15,100,6.11,overcast clouds
265,Kupang,ID,-10.1667,123.5833,76.71,84,50,4.9,scattered clouds
266,Nuristan,AF,35.3,70.8333,37.15,43,0,7.56,clear sky
267,Vila Velha,BR,-20.3297,-40.2925,71.55,73,90,8.05,overcast clouds
268,Askim,NO,59.5833,11.1629,56.32,96,100,1.01,overcast clouds
269,Sungaipenuh,ID,-2.0833,101.3833,65.39,96,91,0.81,overcast clouds
270,Sosnovo,RU,60.5514,30.2144,50.61,66,100,9.84,light rain
271,Zhengjiatun,CN,43.5064,123.5064,53.33,67,100,8.01,overcast clouds
272,Thompson,CA,55.7435,-97.8558,52.41,36,100,3.56,overcast clouds
273,Lebu,CL,-37.6167,-73.65,56.08,74,22,7.05,few clouds
274,Sidney,AU,-33.8679,151.2073,55.58,90,82,5.68,broken clouds
275,Tolaga Bay,NZ,-38.3667,178.3,61.65,61,5,2.84,clear sky
276,Komsomolskiy,UZ,40.4272,71.7189,54.82,71,22,6.91,few clouds
277,Sistranda,NO,63.7256,8.834,52.9,93,100,10.65,overcast clouds
278,Port Blair,IN,11.6667,92.75,79.79,86,100,23.2,overcast clouds
279,Piacabucu,BR,-10.4056,-36.4344,79.0,74,37,8.97,scattered clouds
280,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,28.99,69,75,6.71,broken clouds
