City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
257,Sitka,US,2021-10-06 00:21:37,57.0531,-135.33,51.69,50,1,16.11
258,Namibe,AO,2021-10-06 00:23:52,-15.1961,12.1522,61.54,79,57,5.61
259,Magadan,RU,2021-10-06 00:23:52,59.5667,150.8,30.58,42,0,6.35
260,Bandundu,CD,2021-10-06 00:23:53,-3.3167,17.3667,70.5,97,82,2.06
261,Port-Gentil,GA,2021-10-06 00:23:54,-0.7193,8.7815,77.77,86,100,15.66
262,Tecoanapa,MX,2021-10-06 00:23:54,16.5167,-98.75,82.71,85,24,6.76
263,Chiang Khong,TH,2021-10-06 00:23:55,20.2613,100.4046,73.72,84,50,1.5
264,Caravelas,BR,2021-10-06 00:23:55,-17.7125,-39.2481,74.17,85,51,5.95
265,Barranca,PE,2021-10-06 00:23:55,-10.75,-77.7667,61.68,85,68,6.29
266,Makueni,KE,2021-10-06 00:23:56,-1.8041,37.6203,61.56,82,100,1.88
267,Portland,US,2021-10-06 00:23:32,45.5234,-122.6762,56.61,93,90,1.99
268,Kruisfontein,ZA,2021-10-06 00:23:56,-34.0033,24.7314,53.89,93,1,3.89
269,Saint-Ambroise,CA,2021-10-06 00:23:57,48.5501,-71.3324,50.58,86,0,1.32
270,Muros,ES,2021-10-06 00:23:57,42.7762,-9.0603,62.83,95,11,4.9
271,Khovu-Aksy,RU,2021-10-06 00:22:09,51.1333,93.6,30.16,61,92,2.75
272,Shimoda,JP,2021-10-06 00:23:58,34.6667,138.95,79.11,69,77,5.88
273,Ucluelet,CA,2021-10-06 00:19:54,48.9329,-125.5528,52.09,89,98,5.68
274,Muncar,ID,2021-10-06 00:23:58,-8.4333,114.3333,76.69,80,92,5.88
275,San Cristobal,VE,2021-10-06 00:23:59,7.7669,-72.225,78.98,97,86,2.89
276,Atasu,KZ,2021-10-06 00:23:59,48.6814,71.6433,26.24,83,56,12.62
277,Ivanovka,KG,2021-10-06 00:24:00,42.8878,75.085,30.63,99,100,5.93
278,Mitu,CO,2021-10-06 00:24:00,1.1983,-70.1733,74.19,96,100,2.1
279,Gopalur,IN,2021-10-06 00:24:01,16.6167,77.8,74.44,92,100,5.53
280,Anadyr,RU,2021-10-06 00:24:01,64.75,177.4833,34.3,100,75,11.01
281,Fereydunshahr,IR,2021-10-06 00:24:01,32.941,50.121,49.05,44,1,4.54
282,Ishinomaki,JP,2021-10-06 00:24:02,38.4167,141.3,69.8,77,100,11.14
283,Altay,CN,2021-10-06 00:24:02,47.8667,88.1167,44.46,48,100,3.49
284,Vestmannaeyjar,IS,2021-10-06 00:24:03,63.4427,-20.2734,43.34,91,100,27.38
285,Tuy Hoa,VN,2021-10-06 00:24:03,13.0833,109.3,76.23,93,100,6.22
286,Marawi,PH,2021-10-06 00:24:04,7.9986,124.2928,73.65,73,97,2.3
287,Moose Factory,CA,2021-10-06 00:24:04,51.2585,-80.6094,57.18,82,1,5.75
288,Kafr Sawm,JO,2021-10-06 00:24:05,32.6833,35.8,64.15,71,0,3.4
289,Pevek,RU,2021-10-06 00:24:05,69.7008,170.3133,28.08,92,100,18.97
290,Luderitz,NA,2021-10-06 00:21:42,-26.6481,15.1594,56.52,75,0,5.19
291,Tura,IN,2021-10-06 00:24:06,25.5198,90.2201,71.02,92,4,2.8
292,Santa Cruz,BO,2021-10-06 00:22:38,-17.8,-63.1667,76.46,57,17,11.5
293,Sao Filipe,CV,2021-10-06 00:24:06,14.8961,-24.4956,80.35,75,3,1.07
294,General Pico,AR,2021-10-06 00:24:07,-35.6566,-63.7568,64.92,34,58,19.89
